,genres,id
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",19404.0
1,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",278.0
2,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",238.0
3,"[{'id': 10749, 'name': 'Romance'}]",724089.0
4,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",424.0
5,"[{'id': 10749, 'name': 'Romance'}]",696374.0
6,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",240.0
7,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",761053.0
8,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",372058.0
9,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",283566.0
10,"[{'id': 18, 'name': 'Drama'}]",255709.0
11,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",129.0
12,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",496243.0
13,"[{'id': 18, 'name': 'Drama'}]",389.0
14,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",632632.0
15,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",497.0
16,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",155.0
17,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",680.0
18,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",122.0
19,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13.0
20,"[{'id': 37, 'name': 'Western'}]",429.0
21,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",441130.0
22,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",40096.0
23,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",11216.0
24,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",346.0
25,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",637.0
26,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",769.0
27,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",311.0
28,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",572154.0
29,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",539.0
30,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",92321.0
31,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",378064.0
32,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",634649.0
33,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",532067.0
34,"[{'id': 18, 'name': 'Drama'}]",510.0
35,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}]",704264.0
36,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",644479.0
37,"[{'id': 18, 'name': 'Drama'}]",550.0
38,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",12477.0
39,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",592350.0
40,"[{'id': 18, 'name': 'Drama'}]",526702.0
41,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",14537.0
42,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",598.0
43,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",556574.0
44,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",324857.0
45,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",4935.0
46,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",630566.0
47,"[{'id': 18, 'name': 'Drama'}]",575813.0
48,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}]",18491.0
49,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",635302.0
50,"[{'id': 18, 'name': 'Drama'}]",599.0
51,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1891.0
52,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",618344.0
53,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",447362.0
54,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",640344.0
55,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",423.0
